car_name,brand,model,vehicle_age,km_driven,transmission_type,mileage,engine,max_power,seats,selling_price,transmission_type_Encoded,seller_type_Dealer,seller_type_Owner,fuel_type_Cng,fuel_type_Diesel,fuel_type_Electric,fuel_type_Petrol,fuel_type,seller_type,year,engine_mileage_ratio,power_engine_ratio,km_per_year,power_mileage_ratio
Mahindra Scorpio,Mahindra,Scorpio,5.0,46400,Manual,15.4,2159.5,120.0,7,1150000,1,1,0,0,1,0,0,Diesel,Dealer,2021.0,140.22727272727272,0.05556841861542024,9280.0,7.792207792207792
Hyundai i10,Hyundai,I10,7.0,32111,Manual,19.81,1086.0,68.05,5,310000,1,0,0,0,0,0,1,Petrol,Certified Dealer,2019.0,54.82079757698133,0.06266114180478821,4587.285714285715,3.4351337708228167
Datsun GO,Datsun,Go,6.0,35000,Manual,19.692493169398904,1198.0,67.0,7,350000,1,0,1,0,0,0,1,Petrol,Owner,2020.0,60.83536450639114,0.055926544240400666,5833.333333333333,3.4023117044475844
Mahindra Scorpio,Mahindr,Scorpio,4.0,30000,Manual,15.4,1197.0,120.0,7,1125000,1,1,0,0,1,0,0,Diesel,Dealer,2022.0,77.72727272727272,0.10025062656641603,7500.0,7.792207792207792
BMW 5,Bmw,5,5.0,63000,Automatic,18.59,2159.5,174.52500000000003,5,2600000,0,1,0,0,1,0,0,Diesel,Dealer,2021.0,116.16460462614309,0.08081731882380182,12600.0,9.38811188811189
Datsun GO,Datsun,Go,4.0,10000,Manual,20.62,1198.0,67.0,7,480000,1,0,1,0,0,0,1,Petrol,Owner,2022.0,58.09893307468477,0.055926544240400666,2500.0,3.2492725509214355
Maruti Swift Dzire,Maruti,Swift Dzir3,4.0,25000,Automatic,28.4,1248.0,74.02,5,850000,0,0,1,0,1,0,0,Diesel,Owner,2022.0,43.94366197183099,0.05931089743589743,6250.0,2.6063380281690143
Hyundai Creta,Hyundai,Creta,4.0,102000,Automatic,17.01,1582.0,126.2,5,1100000,0,1,0,0,1,0,0,Diesel,Dealer,2022.0,93.00411522633745,0.0797724399494311,25500.0,7.419165196942974
Maruti Swift,Maruti,Swift,4.0,35000,Manual,22.0,1197.0,81.8,5,575000,1,1,0,0,0,0,1,Petrol,Dealer,2022.0,54.40909090909091,0.0683375104427736,8750.0,3.7181818181818183
Maruti Swift Dzire,Maruti,Swift Dzir3,9.0,49948,Manual,17.5,1298.0,85.8,5,340000,1,1,0,0,0,0,1,Petrol,Dealer,2017.0,74.17142857142858,0.06610169491525424,5549.777777777777,4.902857142857143
